Región,Provincia,Comuna,Seleccionados,Pagados,Código Único Territorial,Programa,Capa
Libertador General Bernardo O'Higgins,Cardenal Caro,Marchihue,36,16,6204,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cardenal Caro,Navidad,2,0,6205,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cardenal Caro,Paredones,4,3,6206,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,San Fernando,393,205,6301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Chépica,31,17,6302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Chimbarongo,78,37,6303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Lolol,13,5,6304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Nancagua,70,38,6305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Palmilla,32,14,6306,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Peralillo,34,21,6307,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Placilla,32,14,6308,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Pumanque,9,2,6309,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Santa Cruz,176,87,6310,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Talca,766,462,7101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Constitución,227,136,7102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Curepto,22,11,7103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Empedrado,18,11,7104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Maule,201,111,7105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Pelarco,10,4,7106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Pencahue,22,11,7107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Río Claro,12,2,7108,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,San Clemente,81,52,7109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,San Rafael,15,6,7110,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Cauquenes,Cauquenes,181,118,7201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Cauquenes,Chanco,10,7,7202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Cauquenes,Pelluhue,7,4,7203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Curicó,487,241,7301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Hualañé,23,14,7302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Licantén,22,12,7303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Molina,78,40,7304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Rauco,14,9,7305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Romeral,40,22,7306,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Sagrada Familia,26,12,7307,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Teno,56,34,7308,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Vichuquén,4,3,7309,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Linares,528,302,7401,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Colbún,30,9,7402,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Longaví,35,16,7403,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Parral,109,65,7404,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Retiro,15,10,7405,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,San Javier,52,31,7406,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Villa Alegre,19,13,7407,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Yerbas Buenas,31,17,7408,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Concepción,Coronel,51,27,8102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Concepción,Florida,25,13,8104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Concepción,Lota,23,15,8106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Concepción,Santa Juana,68,36,8109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Concepción,Talcahuano,13,3,8110,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Lebu,14,8,8201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Arauco,9,7,8202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Cañete,10,5,8203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Contulmo,13,6,8204,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Curanilahue,161,96,8205,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Los Alamos,48,25,8206,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Tirúa,13,9,8207,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Los Angeles,11,5,8301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Antuco,27,17,8302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Cabrero,730,293,8303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Laja,305,153,8304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Mulchén,359,156,8305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Nacimiento,25,8,8306,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Negrete,90,41,8307,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Quilaco,135,51,8308,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Quilleco,192,73,8309,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,San Rosendo,356,181,8310,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Santa Bárbara,27,15,8311,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Tucapel,693,253,8312,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Yumbel,174,85,8313,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Alto Biobío,541,262,8314,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Temuco,1423,724,9101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Carahue,82,41,9102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Cunco,40,24,9103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Curarrehue,26,12,9104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Freire,56,25,9105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Galvarino,20,8,9106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Gorbea,67,27,9107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Lautaro,140,71,9108,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Loncoche,75,32,9109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Melipeuco,50,32,9110,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Nueva Imperial,243,121,9111,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Padre Las Casas,290,144,9112,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Perquenco,27,11,9113,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Pitrufquén,62,21,9114,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Pucón,128,44,9115,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Saavedra,38,26,9116,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Teodoro Schmidt,43,16,9117,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Toltén,28,16,9118,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Vilcún,77,49,9119,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Villarrica,254,103,9120,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
