OBJECTID,REG,PROV,COM,Seleccionados,Pagados,CUT,Programa,Capa,Shape_Length,Shape_Area
79,06,061,06106,80,37,06106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.553840165554708,0.0109994342326018
80,06,061,06107,44,13,06107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.57004656966037,0.073428522295295
81,06,061,06108,148,55,06108,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.88460074594707,0.25411321480225
82,06,061,06109,27,12,06109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.10782185471013,0.0216534670483644
83,06,061,06110,48,22,06110,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.25860069987424,0.0512899722575842
84,06,061,06111,26,7,06111,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.404950448128104,0.00432542875786014
85,06,061,06112,53,25,06112,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.624854201291138,0.0151944999332429
86,06,061,06113,31,11,06113,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.07676347575911,0.0312995595922634
87,06,061,06114,28,11,06114,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.46196027809164,0.00850066380588736
88,06,061,06115,222,110,06115,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.68304750719924,0.057404269404705
89,06,061,06116,41,8,06116,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.40876299163585,0.0663549937372754
90,06,061,06117,120,55,06117,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.2270611466907,0.0475626068910972
91,06,062,06201,59,18,06201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.84683171611501,0.0701053125491401
92,06,062,06202,10,4,06202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.21463179348705,0.0421846382164157
93,06,062,06203,18,8,06203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.90864252489838,0.0599093308900813
94,06,062,06204,36,16,06204,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.63128120337219,0.0644112384539515
95,06,062,06205,2,0,06205,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.883739600289522,0.0293904650338406
96,06,062,06206,4,3,06206,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.36279777162158,0.0562561615874003
97,06,063,06301,393,205,06301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.71985415913763,0.228554082454802
98,06,063,06302,31,17,06302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.49443042385463,0.0469976692884543
99,06,063,06303,78,37,06303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.2398697552444,0.0501128468087185
100,06,063,06304,13,5,06304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.45662097875038,0.0587385815980436
101,06,063,06305,70,38,06305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.72663421655743,0.0148685024693968
102,06,063,06306,32,14,06306,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.854892314941792,0.0231434696880333
103,06,063,06307,34,21,06307,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.955666321937369,0.0277558541717872
104,06,063,06308,32,14,06308,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.550020762634688,0.0141918501625164
105,06,063,06309,9,2,06309,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.10320986077746,0.0433352274132193
106,06,063,06310,176,87,06310,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.27456975520931,0.0386766342104125
107,07,071,07101,766,462,07101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.846971281141999,0.0229659507399912
108,07,071,07102,227,136,07102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.22827162807835,0.132761393495043
109,07,071,07103,22,11,07103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.89892542776338,0.105792497834037
110,07,071,07104,18,11,07104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.4095856347371,0.056216487792605
111,07,071,07105,201,111,07105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.847792634994453,0.0241347828453697
112,07,071,07106,10,4,07106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.16975119311098,0.0328316435719221
113,07,071,07107,22,11,07107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.7677011464788,0.0947261116921308
114,07,071,07108,12,2,07108,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.4444345240148,0.0430469335212466
115,07,071,07109,81,52,07109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,4.62933384260602,0.448319244174027
116,07,071,07110,15,6,07110,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.969455373603805,0.0259492001283067
117,07,072,07201,181,118,07201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.03979186199025,0.212299367718669
118,07,072,07202,10,7,07202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.3499846262028,0.052556181586749
119,07,072,07203,7,4,07203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.28538820368837,0.0368857439367727
120,07,073,07301,487,241,07301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.30675957845738,0.132113919230228
121,07,073,07302,23,14,07302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.79733873739996,0.0620519471458298
122,07,073,07303,22,12,07303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.13019613181151,0.0269224894248631
