La,Araucanía,	Cautín,	Melipeuco,	50,	32,	09110,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Nueva,Imperial,	243,	121,	09111,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Padre,Las,Casas,	290,	144,	09112,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Perquenco,	27,	11,	09113,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Pitrufquén,	62,	21,	09114,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Pucón,	128,	44,	09115,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Saavedra,	38,	26,	09116,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Teodoro,Schmidt,	43,	16,	09117,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Toltén,	28,	16,	09118,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Vilcún,	77,	49,	09119,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Villarrica,	254,	103,	09120,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Cautín,	Cholchol,	37,	15,	09121,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Malleco,	Angol,	273,	157,	09201,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Malleco,	Collipulli,	79,	32,	09202,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Malleco,	Curacautín,	50,	26,	09203,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Malleco,	Ercilla,	10,	6,	09204,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Malleco,	Lonquimay,	25,	15,	09205,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Malleco,	Los,Sauces,	24,	17,	09206,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Malleco,	Lumaco,	17,	5,	09207,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Malleco,	Purén,	59,	36,	09208,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Malleco,	Renaico,	26,	12,	09209,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Malleco,	Traiguén,	64,	28,	09210,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
La,Araucanía,	Malleco,	Victoria,	105,	60,	09211,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Llanquihue,	Puerto,Montt,	1087,	415,	10101,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Llanquihue,	Calbuco,	71,	23,	10102,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Llanquihue,	Cochamó,	9,	1,	10103,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Llanquihue,	Fresia,	18,	10,	10104,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Llanquihue,	Frutillar,	46,	12,	10105,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Llanquihue,	Los,Muermos,	44,	18,	10106,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Llanquihue,	Llanquihue,	47,	12,	10107,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Llanquihue,	Maullín,	30,	11,	10108,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
