_id,Region,Cod.Comuna,Glosa.Comuna,No en PBS,Mto.en PBS,No sin PBS,Mto.sin PBS,No en APS Internas,Mto.en APS Internas,Total No,Total Mto. m$
120,7.0,7105,MAULE,274,2976.29199999999991632648743689060211181640625,10,122.9030000000000057980287238024175167083740234375,6,70.77899999999999636202119290828704833984375,290,3169.97399999999970532371662557125091552734375
121,7.0,7106,PELARCO,121,1460.881000000000085492501966655254364013671875,7,116.3059999999999973852027324028313159942626953125,8,136.66100000000000136424205265939235687255859375,136,1713.848000000000183717929758131504058837890625
122,7.0,7107,PENCAHUE,120,1446.88599999999996725819073617458343505859375,7,95.0739999999999980673237587325274944305419921875,3,90.7240000000000037516656448133289813995361328125,130,1632.683999999999969077180139720439910888671875
123,7.0,7108,RIO CLARO,173,2048.2719999999999345163814723491668701171875,11,153.128999999999990677679306827485561370849609375,9,118.751000000000004774847184307873249053955078125,193,2320.152000000000043655745685100555419921875
124,7.0,7109,SAN CLEMENTE,601,6419.4939999999996871338225901126861572265625,37,400.163999999999987267074175179004669189453125,13,168.686000000000007048583938740193843841552734375,651,6988.343999999999141437001526355743408203125
125,7.0,7110,SAN RAFAEL,129,1522.45299999999997453414835035800933837890625,7,78.537000000000006139089236967265605926513671875,9,174.18500000000000227373675443232059478759765625,145,1775.174999999999954525264911353588104248046875
126,7.0,7201,CAUQUENES,663,6966.01800000000002910383045673370361328125,35,1146.799999999999954525264911353588104248046875,64,1167.17900000000008731149137020111083984375,762,9279.99699999999938881956040859222412109375
127,7.0,7202,CHANCO,193,2449.68600000000014915713109076023101806640625,2,179.394000000000005456968210637569427490234375,16,283.18099999999998317434801720082759857177734375,211,2912.26099999999996725819073617458343505859375
128,7.0,7203,PELLUHUE,136,1508.508000000000038198777474462985992431640625,2,23.382999999999999118927007657475769519805908203125,2,32.9380000000000023874235921539366245269775390625,140,1564.82900000000017826096154749393463134765625
129,7.0,7301,CURICO,1277,12708.10699999999997089616954326629638671875,127,1457.9510000000000218278728425502777099609375,85,1362.88200000000006184563972055912017822265625,1489,15528.940000000000509317032992839813232421875
130,7.0,7302,HUALAÑE,215,2364.1199999999998908606357872486114501953125,8,225.919999999999987494447850622236728668212890625,16,328.66300000000001091393642127513885498046875,239,2918.70299999999997453414835035800933837890625
131,7.0,7303,LICANTEN,112,1124.79199999999991632648743689060211181640625,2,23.8719999999999998863131622783839702606201171875,5,120.1110000000000042064129956997931003570556640625,119,1268.77500000000009094947017729282379150390625
